"subNum" "cond" "set" "url"
1 0 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
3 1 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
5 2 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
7 3 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
9 4 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
11 5 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
13 6 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
15 7 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
17 8 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
19 9 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
21 10 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
23 11 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
25 0 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
27 1 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
29 2 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
31 3 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
33 4 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
35 5 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
37 6 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
39 7 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
41 8 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
43 9 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
45 10 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
47 11 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
49 0 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
51 1 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
53 2 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
55 3 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
57 4 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
59 5 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
61 6 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
63 7 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
65 8 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
67 9 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=1&group=1&cond=0&batchId=395&generalMultiple"
69 10 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=3&group=1&cond=1&batchId=395&generalMultiple"
71 11 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=5&group=1&cond=2&batchId=395&generalMultiple"
