1	s62	G1	sense of being there	PRES	"In the computer generated world I had a sense of ""being there""."	not at all		very much	Slater & Usoh (1994)
2	s44	SP1	sense of VE behind	SP	Somehow I felt that the virtual world surrounded me.	fully disagree		fully agree	IPQ
3	s30	SP2	only pictures	SP	I felt like I was just perceiving pictures.	fully disagree		fully agree	IPQ
4	s28	SP3	not sense of being in v. space	SP	I did not feel present in the virtual space.	did not feel		felt present	???
5	s31	SP4	sense of acting in VE	SP	"I had a sense of acting in the virtual space, rather than operating something from outside."	fully disagree		fully agree	IPQ
6	s33	SP5	sense of being present in VE	SP	I felt present in the virtual space.	fully disagree		fully agree	IPQ
7	s64	INV1	awareness of real env.	INV	"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?"	extremely aware	moderately aware	not aware at all	Witmer & Singer (1994)
8	s37	INV2	not aware of real env.	INV	I was not aware of my real environment.	fully disagree		fully agree	IPQ
9	s40	INV3	no attention to real env.	INV	I still paid attention to the real environment.	fully disagree		fully agree	IPQ
10	s38	INV4	attention captivated by VE	INV	I was completely captivated by the virtual world.	fully disagree		fully agree	IPQ
11	s48	REAL1	VE real (real/not real)	REAL	How real did the virtual world seem to you?	completely real		not real at all	Hendrix (1994)
12	s7	REAL2	experience similar to real env.	REAL	How much did your experience in the virtual environment seem consistent with your real world experience?	not consistent	moderately consistent	very consistent	Witmer & Singer (1994)
13	s59	REAL3	VE real (imagined/real)	REAL	How real did the virtual world seem to you? 	about as real as\nan imagined world		indistinguishable\nfrom the real world	"Carlin, Hoffman, & Weghorst (1997)"
14	s47	REAL4	VE wirklich	REAL	The virtual world seemed more realistic than the real world.	fully disagree		fully agree	IPQ
15	na	na	novelty	na	This experience was novel.	fully disagree		fully agree	noveltyVR
16	na	na	exciting	na	This experience was exciting.	fully disagree		fully agree	noveltyVR
17	na	na	uncomfortable	na	This experiences was uncomfortable.	fully disagree		fully agree	noveltyVR
